"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"52","115.22974119046073","44.88097814513235","5.1893853930880445","-0.3036765490718706","0.01639999999999997","0.0146","0.018199999999999994","4000","0.00043875213062124005","0","0.00043875213062124005","0.00043875213062124005","","","true"
"53","312.12714942118464","388.5305571405341","4.8431689483109945","-0.3085981049843937","0.07689999999999997","0.0708","0.08299999999999996","4000","0.00022252354611417","0","0.00022252354611417","0.00022252354611417","","","true"
"54","163.42047189689515","195.03023206661868","5.192122176827021","-0.30333873744389567","0.05230000000000001","0.0532","0.0514","4000","0.00019432345583817972","0","0.00019432345583817972","0.00019432345583817972","54_45:0.006329655968827785","54_45:660","true"
"55","238.61379386794889","60.08161778498136","5.216670325727182","-0.3040260702188013","0.008799999999999919","0.0082","0.009399999999999964","4000","0.00030198184305424723","0","0.00030198184305424723","0.00030198184305424723","55_49:0.019939572853660992","55_49:660","true"
"56","150.02145418606474","29.954601366371417","5.13476780203064","-0.3462174906240536","0.09760000000000002","0.0772","0.118","4000","0.0007182102145316489","0","0.0007182102145316489","0.0007182102145316489","56_52:0.017994198575797427;56_57:0.017709475605840602","56_52:660;56_57:660","true"
"57","251.62710695658905","30.90247179974991","4.769586472709593","-0.30844645864074566","0.3521000000000001","0.2298","0.47440000000000004","4000","0.00038476284606999496","0","0.00038476284606999496","0.00038476284606999496","","","true"
"58","375.38971255768075","42.71286744712242","4.916414406968884","-0.3089545931879817","0.056499999999999995","0.0518","0.06120000000000003","4000","0.0004757702789266468","0","0.0004757702789266468","0.0004757702789266468","58_59:0.014300524029502742;58_57:0.0285843221318062","58_59:660;58_57:660","true"
"59","293.0220729360918","170.3108796512671","5.016362608266589","-0.30653005999415467","0.0665","0.07040000000000002","0.0626","4000","0.00019162898262385018","0","0.00019162898262385018","0.00019162898262385018","","","true"
"60","163.71395396839375","185.16436301849436","5.112574514913633","-0.3054937994423591","0.06000000000000005","0.0578","0.06220000000000003","4000","0.0009272782919242007","0","0.0009272782919242007","0.0009272782919242007","60_59:0.008305450440049128;60_53:0.019481290202308266","60_59:660;60_53:660","true"
"61","247.1447521718696","186.38192677890422","4.911715280841228","-0.3085000780263203","0.16569999999999996","0.1594","0.172","4000","0.00024829552719531355","0","0.00024829552719531355","0.00024829552719531355","61_60:0.020416127115481686","61_60:660","true"
"62","239.7093739106748","123.13716267980485","5.015457444768779","-0.3066993137320213","0.4406","0.297","0.5842","4000","0.0003100312544690605","0","0.0003100312544690605","0.0003100312544690605","62_61:0.006904334006231","62_61:660","true"
